iter	Passed	Remaining
0	0	88
1	1	82
2	2	75
3	2	69
4	3	68
5	4	66
6	4	65
7	5	65
8	6	64
9	7	63
10	7	64
11	8	64
12	9	63
13	10	62
14	10	61
15	11	60
16	12	59
17	12	58
18	13	57
19	14	57
20	14	56
21	15	56
22	16	56
23	18	57
24	19	59
25	20	59
26	21	58
27	22	58
28	23	57
29	24	56
30	25	56
31	26	55
32	26	54
33	27	53
34	28	53
35	29	52
36	30	51
37	31	50
38	32	50
39	32	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	45
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	41	40
51	42	39
52	43	38
53	44	37
54	44	36
55	45	36
56	46	35
57	47	34
58	48	33
59	49	32
60	50	32
61	51	31
62	51	30
63	52	29
64	53	28
65	54	28
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	64	18
78	65	17
79	65	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	80	3
96	80	2
97	81	1
98	82	0
99	83	0
