iter	Passed	Remaining
0	129	129533
1	131	65737
2	133	44358
3	135	33656
4	136	27262
5	138	22975
6	140	19964
7	142	17692
8	144	15937
9	146	14508
10	148	13306
11	149	12281
12	150	11412
13	151	10671
14	152	10043
15	154	9491
16	155	9001
17	157	8578
18	158	8197
19	159	7837
20	161	7511
21	162	7216
22	163	6945
23	164	6694
24	165	6466
25	167	6267
26	168	6071
27	169	5896
28	171	5746
29	173	5596
30	174	5445
31	175	5303
32	176	5170
33	177	5043
34	178	4923
35	180	4823
36	181	4725
37	183	4634
38	184	4554
39	186	4480
40	188	4402
41	189	4327
42	191	4260
43	192	4187
44	194	4123
45	195	4062
46	197	4004
47	200	3973
48	201	3919
49	203	3870
50	205	3830
51	207	3789
52	209	3737
53	210	3686
54	211	3634
55	213	3591
56	215	3566
57	217	3536
58	219	3501
59	220	3460
60	222	3424
61	223	3386
62	225	3351
63	226	3311
64	227	3277
65	229	3248
66	231	3221
67	232	3187
68	233	3152
69	234	3118
70	235	3084
71	236	3053
72	238	3024
73	239	3000
74	241	2972
75	252	3069
76	254	3056
77	266	3149
78	268	3124
79	269	3098
80	270	3074
81	272	3046
82	272	3013
83	275	3007
84	277	2987
85	278	2963
86	279	2938
87	281	2914
88	282	2890
89	283	2868
90	284	2845
91	286	2823
92	287	2800
93	288	2784
94	291	2779
95	293	2762
96	294	2744
97	296	2729
98	298	2715
99	299	2698
100	301	2682
101	303	2674
102	305	2663
103	307	2650
104	310	2644
105	311	2629
106	313	2616
107	315	2602
108	318	2600
109	320	2593
110	322	2584
111	324	2572
112	325	2558
113	327	2547
114	329	2532
115	330	2518
116	332	2507
117	334	2500
118	336	2490
119	338	2480
120	340	2475
121	342	2461
122	343	2449
123	345	2440
124	347	2432
125	349	2425
126	350	2411
127	352	2400
128	354	2394
129	356	2385
130	358	2374
131	359	2363
132	361	2356
133	363	2349
134	365	2340
135	367	2333
136	369	2329
137	374	2342
138	379	2352
139	381	2344
140	383	2335
141	384	2325
142	386	2314
143	387	2304
144	389	2293
145	390	2286
146	393	2281
147	394	2272
148	396	2264
149	397	2254
150	400	2249
151	402	2245
152	404	2237
153	406	2234
154	408	2226
155	410	2218
156	412	2216
157	417	2222
158	420	2222
159	422	2217
160	425	2216
161	427	2210
162	429	2207
163	431	2201
164	433	2194
165	438	2202
166	440	2197
167	443	2194
168	444	2185
169	446	2179
170	449	2179
171	453	2184
172	456	2181
173	458	2174
174	459	2166
175	461	2158
176	462	2150
177	463	2142
178	492	2258
179	496	2262
180	498	2257
181	501	2256
182	503	2249
183	505	2242
184	507	2234
185	508	2226
186	510	2217
187	511	2209
188	513	2203
189	516	2200
190	517	2194
191	519	2186
192	520	2177
193	522	2169
194	523	2161
195	524	2152
196	526	2144
197	530	2146
198	531	2140
199	533	2133
200	534	2124
201	535	2116
202	536	2107
203	538	2100
204	539	2092
205	540	2084
206	542	2078
207	544	2072
208	546	2066
209	547	2058
210	548	2051
211	549	2043
212	550	2035
213	552	2027
214	553	2020
215	554	2013
216	555	2006
217	557	2000
218	559	1994
219	560	1987
220	561	1980
221	562	1972
222	564	1965
223	565	1959
224	566	1952
225	568	1945
226	569	1938
227	570	1932
228	572	1926
229	574	1923
230	575	1916
231	577	1910
232	578	1903
233	579	1896
234	580	1890
235	581	1883
236	582	1876
237	583	1869
238	585	1862
239	586	1855
240	587	1851
241	589	1847
242	591	1842
243	592	1836
244	593	1829
245	594	1823
246	595	1816
247	597	1810
248	598	1803
249	599	1797
250	600	1792
251	603	1790
252	605	1786
253	606	1780
254	608	1776
255	609	1770
256	610	1764
257	611	1758
258	612	1752
259	613	1746
260	615	1741
261	616	1736
262	618	1734
263	620	1729
264	621	1724
265	622	1718
266	623	1712
267	624	1707
268	626	1701
269	627	1696
270	628	1690
271	629	1685
272	630	1679
273	632	1675
274	634	1671
275	635	1666
276	636	1661
277	637	1656
278	638	1650
279	642	1651
280	643	1645
281	644	1640
282	645	1635
283	647	1632
284	648	1628
285	650	1622
286	651	1617
287	652	1612
288	653	1607
289	654	1603
290	655	1597
291	656	1592
292	658	1587
293	659	1583
294	660	1579
295	663	1577
296	664	1573
297	665	1568
298	667	1564
299	668	1559
300	669	1554
301	670	1549
302	671	1545
303	673	1541
304	674	1536
305	675	1531
306	677	1529
307	678	1524
308	679	1520
309	681	1516
310	682	1511
311	683	1506
312	684	1502
313	685	1498
314	686	1493
315	687	1489
316	689	1484
317	691	1483
318	693	1480
319	694	1476
320	695	1472
321	696	1467
322	698	1463
323	699	1459
324	700	1454
325	701	1450
326	702	1446
327	703	1441
328	723	1475
329	725	1472
330	727	1469
331	728	1466
332	730	1462
333	731	1458
334	732	1454
335	734	1451
336	735	1447
337	737	1444
338	740	1443
339	741	1440
340	743	1437
341	745	1434
342	746	1430
343	748	1426
344	749	1423
345	751	1419
346	753	1417
347	754	1414
348	756	1410
349	757	1406
350	758	1402
351	759	1399
352	761	1395
353	762	1391
354	763	1388
355	765	1384
356	768	1384
357	770	1381
358	772	1378
359	773	1375
360	775	1371
361	776	1368
362	777	1364
363	779	1361
364	780	1357
